STATIONSKENNUNG,STATIONSNAME,STATIONS_ID,MaxvonGERAETETYP_NAME,MinvonVON_DATUM,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Niederschlag 1 Min,Schnee manuell,Wind 10 Min,Temperatur und Feuchte 2 m 10 Min,Sonne 10 Min,Erdbodentemperaturen Standard 10 Min,HEADING_BUFR1,HEADING_BUFR2,HEADING_BUFR3,HEADING_BUFR4,HEADING_BUFR5,HEADING_BUFR6,HEADING_BUFR7
A002,Helgoland-Düne,2100,MODES III W,08-Nov-18,54.185992,7.911932,4.1,,,1,,,,ISMD72 AMDW,ISID72 AMDW,ISND72 AMDW,ISXD72 AMDW,ISAD72 AMDW,ISHD72 AMDW,ISGD72 AMDW
A051,Weesby,3217,MODES III N,01-Aug-06,54.837286,9.148066,22.0,2,2,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A112,Wrixum/Föhr,5732,MODES III N,01-Jul-05,54.692781,8.527128,8.0,2,2,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A138,Bordelum,791,AMDA III / N,01-Jan-06,54.632756,8.936989,8.0,1,1,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A159,Eggebek,1130,MODES III N,01-Jul-09,54.628230,9.364924,17.0,3,3,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A160,Flensburg (Schäferhaus),1379,AMDA III / W,01-Jun-06,54.773652,9.375236,41.0,,,3,,,,ISMD72 AMDW,ISID72 AMDW,ISND72 AMDW,ISXD72 AMDW,ISAD72 AMDW,ISHD72 AMDW,ISGD72 AMDW
A173,Satrup,4405,AMDA III / N,01-Mar-06,54.685407,9.626100,35.0,4,4,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A191,Wagersrott,4896,AMDA III / S,01-Jul-05,54.665383,9.805022,40.0,2,2,,2,,2,ISMD33 AMDS,ISID33 AMDS,ISND33 AMDS,ISXD33 AMDS,ISAD33 AMDS,ISHD33 AMDS,ISGD33 AMDS
A201,Hallig Hooge,1963,MODES III W,01-Aug-06,54.574167,8.513315,4.0,,,5,,,,ISMD72 AMDW,ISID72 AMDW,ISND72 AMDW,ISXD72 AMDW,ISAD72 AMDW,ISHD72 AMDW,ISGD72 AMDW
A216,Strucklahnungshörn,4919,MODES III W,01-Aug-06,54.496485,8.806926,7.0,,,3,,,,ISMD72 AMDW,ISID72 AMDW,ISND72 AMDW,ISXD72 AMDW,ISAD72 AMDW,ISHD72 AMDW,ISGD72 AMDW
A226,Hattstedt,7298,MODES III S,01-Jul-05,54.526755,9.042461,5.0,2,2,,2,2,,ISMD33 AMDS,ISID33 AMDS,ISND33 AMDS,ISXD33 AMDS,ISAD33 AMDS,ISHD33 AMDS,ISGD33 AMDS
A345,Groß Wittensee,1813,AMDA III / N,01-Jan-07,54.403194,9.765426,15.0,1,1,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A351,Erfde,1266,MODES III S,01-Jun-04,54.299212,9.316185,18.0,2,2,,2,,2,ISMD33 AMDS,ISID33 AMDS,ISND33 AMDS,ISXD33 AMDS,ISAD33 AMDS,ISHD33 AMDS,ISGD33 AMDS
A397,Großenbrode,1827,MODES III N,01-Jan-07,54.372582,11.082818,2.5,2,2,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A411,Krempel,2734,AMDA III / N,01-Jan-06,54.323706,9.024660,1.5,4,4,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A443,Ostenfeld (Rendsburg),6105,MODES III S,01-May-04,54.319385,9.805120,14.0,5,5,,5,5,5,ISMD33 AMDS,ISID33 AMDS,ISND33 AMDS,ISXD33 AMDS,ISAD33 AMDS,ISHD33 AMDS,ISGD33 AMDS
A473,Köhn,4666,MODES III N,01-Jun-05,54.344412,10.458082,40.0,2,2,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A480,Putlos,5877,AMDA III / W,09-Jul-09,54.315980,10.800223,5.0,,,1,,,,ISMD72 AMDW,ISID72 AMDW,ISND72 AMDW,ISXD72 AMDW,ISAD72 AMDW,ISHD72 AMDW,ISGD72 AMDW
A481,Hohwacht,2306,MODES III S,01-Aug-05,54.319391,10.673193,8.0,3,3,,3,,3,ISMD33 AMDS,ISID33 AMDS,ISND33 AMDS,ISXD33 AMDS,ISAD33 AMDS,ISHD33 AMDS,ISGD33 AMDS
A505,Büsum,788,AMDA III / W,26-Oct-07,54.119305,8.858369,3.0,,,3,,,,ISMD72 AMDW,ISID72 AMDW,ISND72 AMDW,ISXD72 AMDW,ISAD72 AMDW,ISHD72 AMDW,ISGD72 AMDW
A536,Haale,5057,MODES III N,01-Aug-05,54.169524,9.555852,26.0,2,2,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A653,Padenstedt (Pony-Park),7427,AMDA III / S,01-Sep-07,54.018844,9.925507,16.5,1,1,,1,,,ISMD33 AMDS,ISID33 AMDS,ISND33 AMDS,ISXD33 AMDS,ISAD33 AMDS,ISHD33 AMDS,ISGD33 AMDS
A699,Travemünde,5078,AMDA III / W,23-Aug-07,53.961947,10.889158,2.3,,,1,,,,ISMD72 AMDW,ISID72 AMDW,ISND72 AMDW,ISXD72 AMDW,ISAD72 AMDW,ISHD72 AMDW,ISGD72 AMDW
A752,Weddelbrook,13687,AMDA III / N,01-Nov-07,53.900473,9.830793,18.0,3,3,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A762,Wittenborn,5280,MODES III S,01-Mar-07,53.922412,10.226738,35.0,3,3,,3,,3,ISMD33 AMDS,ISID33 AMDS,ISND33 AMDS,ISXD33 AMDS,ISAD33 AMDS,ISHD33 AMDS,ISGD33 AMDS
A791,"Schwartau,Bad -Groß Parin",4602,MODES III N,01-Dec-08,53.938481,10.698267,26.0,2,2,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A940,Sprenge,5058,MODES III N,01-Dec-05,53.689270,10.365697,55.0,4,4,,,,,ISMD83 AMDN,ISID83 AMDN,ISND83 AMDN,ISXD83 AMDN,ISAD83 AMDN,ISHD83 AMDN,ISGD83 AMDN
A981,Grambek,1736,MODES III S,01-Jul-02,53.573115,10.679686,27.0,3,3,,3,,3,ISMD33 AMDS,ISID33 AMDS,ISND33 AMDS,ISXD33 AMDS,ISAD33 AMDS,ISHD33 AMDS,ISGD33 AMDS
B006,Hiddensee-Vitte,2201,MODES III S,01-Aug-05,54.574957,13.104393,1.0,5,5,,5,,,ISMD32 AMDS,ISID32 AMDS,ISND32 AMDS,ISXD32 AMDS,ISAD32 AMDS,ISHD32 AMDS,ISGD32 AMDS
B040,Darßer Ort (SWN),6097,AMDA III / W,25-Sep-07,54.473768,12.501388,4.0,,,1,,,,ISMD71 AMDW,ISID71 AMDW,ISND71 AMDW,ISXD71 AMDW,ISAD71 AMDW,ISHD71 AMDW,ISGD71 AMDW
B085,Sagard,4352,MODES III N,01-Sep-07,54.515958,13.531288,5.0,3,3,,,,,ISMD82 AMDN,ISID82 AMDN,ISND82 AMDN,ISXD82 AMDN,ISAD82 AMDN,ISHD82 AMDN,ISGD82 AMDN
B158,Steinhagen-Negast,6199,MODES III S,01-Oct-04,54.248388,13.041849,16.0,4,4,,4,,4,ISMD32 AMDS,ISID32 AMDS,ISND32 AMDS,ISXD32 AMDS,ISAD32 AMDS,ISHD32 AMDS,ISGD32 AMDS
B203,Bastorf-Kägsdorf (SWN),6101,AMDA III / W,25-Sep-07,54.132339,11.671890,51.0,,,1,,,,ISMD71 AMDW,ISID71 AMDW,ISND71 AMDW,ISXD71 AMDW,ISAD71 AMDW,ISHD71 AMDW,ISGD71 AMDW
B258,Tribsees,5097,MODES III S,01-Jan-05,54.066058,12.767516,10.0,4,4,,4,4,4,ISMD32 AMDS,ISID32 AMDS,ISND32 AMDS,ISXD32 AMDS,ISAD32 AMDS,ISHD32 AMDS,ISGD32 AMDS
B308,Kirchdorf/Poel,2578,MODES III S,01-Jul-04,53.999513,11.434142,12.0,2,2,,2,,,ISMD32 AMDS,ISID32 AMDS,ISND32 AMDS,ISXD32 AMDS,ISAD32 AMDS,ISHD32 AMDS,ISGD32 AMDS
B320,Gersdorf,2749,MODES III N,01-Aug-04,54.080548,11.742490,52.0,3,3,,,,,ISMD82 AMDN,ISID82 AMDN,ISND82 AMDN,ISXD82 AMDN,ISAD82 AMDN,ISHD82 AMDN,ISGD82 AMDN
B334,Groß Lüsewitz,1803,MODES III S,01-Sep-04,54.071372,12.323780,34.0,3,3,3,3,,,ISMD39 AMDS,ISID39 AMDS,ISND39 AMDS,ISXD39 AMDS,ISAD39 AMDS,ISHD39 AMDS,ISGD39 AMDS
B365,Süderholz-Neuendorf,3965,MODES III N,01-Dec-07,54.103401,13.153310,5.0,2,2,,,,,ISMD82 AMDN,ISID82 AMDN,ISND82 AMDN,ISXD82 AMDN,ISAD82 AMDN,ISHD82 AMDN,ISGD82 AMDN
B382,Karlshagen,6310,MODES III S,01-Aug-04,54.104896,13.823906,1.0,2,2,,2,2,,ISMD32 AMDS,ISID32 AMDS,ISND32 AMDS,ISXD32 AMDS,ISAD32 AMDS,ISHD32 AMDS,ISGD32 AMDS
